Symbol,Close,Open,High,Low,Volume,Value,Date,OpenInt
MCH,33551.288607141054,33686.39446730403,33686.39446730403,33326.11217353608,7100.0,0.0,2023-01-03,0.0
MCH,33596.32389386205,33506.253320420066,33641.359180583044,33506.253320420066,7000.0,0.0,2023-01-04,0.0
MCH,33100.93573993111,33551.288607141054,33551.288607141054,33100.93573993111,7700.0,0.0,2023-01-05,0.0
MCH,32875.75930632613,33371.14746025707,33371.14746025707,31524.700704696294,23000.0,0.0,2023-01-06,0.0
MCH,32335.335865674195,32380.3711523952,32425.40643911619,32335.335865674195,20700.0,0.0,2023-01-09,0.0
MCH,32200.230005511217,32425.40643911619,32425.40643911619,32200.230005511217,10700.0,0.0,2023-01-10,0.0
MCH,32290.3005789532,32020.08885862724,32380.3711523952,32020.08885862724,4700.0,0.0,2023-01-11,0.0
MCH,31975.05357190624,32200.230005511217,32200.230005511217,31975.05357190624,10900.0,0.0,2023-01-12,0.0
MCH,31975.05357190624,31975.05357190624,32425.40643911619,31569.735991417285,54700.0,0.0,2023-01-13,0.0
MCH,32425.40643911619,32110.159432069224,32830.72401960514,32110.159432069224,162100.0,0.0,2023-01-16,0.0
MCH,32785.68873288414,32425.40643911619,32875.75930632613,32425.40643911619,22200.0,0.0,2023-01-17,0.0
MCH,32695.61815944216,32740.65344616316,33551.288607141054,32650.58287272116,28700.0,0.0,2023-01-18,0.0
MCH,33281.076886815084,32920.794593047125,33551.288607141054,32875.75930632613,4500.0,0.0,2023-01-19,0.0
MCH,33416.18274697808,33055.90045321012,35127.52364237587,33055.90045321012,6200.0,0.0,2023-01-27,0.0
MCH,34001.641474351,33551.288607141054,34001.641474351,33551.288607141054,29400.0,0.0,2023-01-30,0.0
MCH,33326.11217353608,33776.46504074603,33821.50032746702,33326.11217353608,45800.0,0.0,2023-01-31,0.0
MCH,32875.75930632613,33326.11217353608,33641.359180583044,32875.75930632613,51800.0,0.0,2023-02-01,0.0
MCH,32200.230005511217,32875.75930632613,33055.90045321012,32200.230005511217,68500.0,0.0,2023-02-02,0.0
MCH,32785.68873288414,32425.40643911619,32830.72401960514,32425.40643911619,16400.0,0.0,2023-02-03,0.0
MCH,32515.47701255817,32470.441725837176,32830.72401960514,32470.441725837176,15500.0,0.0,2023-02-06,0.0
MCH,32425.40643911619,32515.47701255817,32515.47701255817,32425.40643911619,15700.0,0.0,2023-02-07,0.0
MCH,32515.47701255817,32425.40643911619,32515.47701255817,32290.3005789532,8600.0,0.0,2023-02-08,0.0
MCH,32875.75930632613,32515.47701255817,32875.75930632613,32515.47701255817,8200.0,0.0,2023-02-09,0.0
MCH,32875.75930632613,32965.82987976812,33055.90045321012,32650.58287272116,10200.0,0.0,2023-02-10,0.0
MCH,32650.58287272116,32830.72401960514,32965.82987976812,32650.58287272116,8000.0,0.0,2023-02-13,0.0
MCH,32200.230005511217,32830.72401960514,32830.72401960514,32200.230005511217,3800.0,0.0,2023-02-14,0.0
MCH,32560.51229927917,32470.441725837176,33326.11217353608,32470.441725837176,10100.0,0.0,2023-02-15,0.0
MCH,32830.72401960514,32875.75930632613,33100.93573993111,32830.72401960514,9800.0,0.0,2023-02-16,0.0
MCH,32875.75930632613,33010.865166489115,33010.865166489115,32875.75930632613,13000.0,0.0,2023-02-17,0.0
MCH,33100.93573993111,32920.794593047125,33100.93573993111,32650.58287272116,14800.0,0.0,2023-02-20,0.0
MCH,33326.11217353608,33281.076886815084,33326.11217353608,33010.865166489115,28800.0,0.0,2023-02-21,0.0
MCH,33326.11217353608,32875.75930632613,33326.11217353608,32830.72401960514,12000.0,0.0,2023-02-22,0.0
MCH,33010.865166489115,33055.90045321012,33326.11217353608,32695.61815944216,7700.0,0.0,2023-02-23,0.0
MCH,33281.076886815084,32965.82987976812,33281.076886815084,32875.75930632613,24900.0,0.0,2023-02-24,0.0
MCH,32290.3005789532,32650.58287272116,33191.006313373095,28777.54821471561,41500.0,0.0,2023-02-27,0.0
MCH,32425.40643911619,33010.865166489115,33100.93573993111,32425.40643911619,20100.0,0.0,2023-02-28,0.0
MCH,32650.58287272116,32875.75930632613,32875.75930632613,32200.230005511217,23300.0,0.0,2023-03-01,0.0
MCH,32425.40643911619,32650.58287272116,32650.58287272116,32425.40643911619,39200.0,0.0,2023-03-02,0.0
MCH,31074.347837486348,32425.40643911619,32470.441725837176,31074.347837486348,98800.0,0.0,2023-03-03,0.0
MCH,31524.700704696294,31524.700704696294,31930.018285185248,31074.347837486348,108300.0,0.0,2023-03-06,0.0
MCH,31074.347837486348,31524.700704696294,31524.700704696294,31074.347837486348,18700.0,0.0,2023-03-07,0.0
MCH,31074.347837486348,31254.488984370328,31344.55955781231,31074.347837486348,13800.0,0.0,2023-03-08,0.0
MCH,31074.347837486348,31074.347837486348,31164.41841092833,31074.347837486348,7200.0,0.0,2023-03-09,0.0
MCH,30669.03025699739,31164.41841092833,31164.41841092833,30669.03025699739,15700.0,0.0,2023-03-10,0.0
MCH,30623.9949702764,30714.06554371839,30894.206690602365,30623.9949702764,12600.0,0.0,2023-03-13,0.0
MCH,30218.677389787445,30669.03025699739,30669.03025699739,29993.50095618247,8900.0,0.0,2023-03-14,0.0
MCH,30669.03025699739,30173.642103066453,30714.06554371839,30173.642103066453,5800.0,0.0,2023-03-15,0.0
MCH,30173.642103066453,30218.677389787445,30398.818536671424,30128.60681634546,9200.0,0.0,2023-03-16,0.0
MCH,30488.88911011341,30173.642103066453,30623.9949702764,30173.642103066453,2100.0,0.0,2023-03-17,0.0
MCH,30128.60681634546,30173.642103066453,30173.642103066453,30128.60681634546,5900.0,0.0,2023-03-20,0.0
MCH,29993.50095618247,30173.642103066453,30173.642103066453,29723.289235856504,10900.0,0.0,2023-03-21,0.0
MCH,29993.50095618247,29993.50095618247,31524.700704696294,29993.50095618247,13300.0,0.0,2023-03-22,0.0
MCH,29723.289235856504,29858.395096019485,29858.395096019485,29723.289235856504,5300.0,0.0,2023-03-23,0.0
MCH,29498.11280225153,29813.35980929849,29813.35980929849,29498.11280225153,15500.0,0.0,2023-03-24,0.0
MCH,29272.93636864656,29633.218662414514,29633.218662414514,29272.93636864656,32200.0,0.0,2023-03-27,0.0
MCH,29272.93636864656,29363.006942088545,29498.11280225153,29272.93636864656,12600.0,0.0,2023-03-28,0.0
MCH,29137.830508483574,29272.93636864656,29272.93636864656,29137.830508483574,9100.0,0.0,2023-03-29,0.0
MCH,29498.11280225153,29272.93636864656,30173.642103066453,29272.93636864656,24800.0,0.0,2023-03-30,0.0
MCH,29588.183375693523,29633.218662414514,29723.289235856504,29543.14808897252,4400.0,0.0,2023-03-31,0.0
MCH,29993.50095618247,31029.31255076536,31029.31255076536,29678.25394913552,9200.0,0.0,2023-04-03,0.0
MCH,29723.289235856504,29948.46566946148,29948.46566946148,29498.11280225153,10800.0,0.0,2023-04-04,0.0
MCH,30038.53624290347,29993.50095618247,30398.818536671424,29993.50095618247,7100.0,0.0,2023-04-05,0.0
MCH,29768.3245225775,30083.57152962446,30173.642103066453,29768.3245225775,15000.0,0.0,2023-04-06,0.0
MCH,29633.218662414514,29723.289235856504,29813.35980929849,29543.14808897252,9600.0,0.0,2023-04-07,0.0
MCH,29317.97165536755,29498.11280225153,29678.25394913552,29272.93636864656,17000.0,0.0,2023-04-10,0.0
MCH,29272.93636864656,29317.97165536755,29723.289235856504,29272.93636864656,6700.0,0.0,2023-04-11,0.0
MCH,30128.60681634546,29588.183375693523,30128.60681634546,29588.183375693523,18400.0,0.0,2023-04-12,0.0
MCH,29948.46566946148,29272.93636864656,29948.46566946148,29272.93636864656,8000.0,0.0,2023-04-13,0.0
