Symbol,Close,Open,High,Low,Volume,Value,Date,OpenInt
VNG,9630.0,9700.0,9750.0,9310.0,18600.0,0.0,2023-01-03,0.0
VNG,9360.0,9630.0,9630.0,9310.0,9800.0,0.0,2023-01-04,0.0
VNG,9700.0,9750.0,9750.0,9400.0,24000.0,0.0,2023-01-05,0.0
VNG,9680.0,9700.0,9750.0,9420.0,6600.0,0.0,2023-01-06,0.0
VNG,9660.0,9890.0,9950.0,9660.0,71200.0,0.0,2023-01-09,0.0
VNG,9790.0,9200.0,9800.0,9020.0,6800.0,0.0,2023-01-10,0.0
VNG,9780.0,9790.0,9830.0,9220.0,13100.0,0.0,2023-01-11,0.0
VNG,9650.0,9790.0,9790.0,9650.0,1600.0,0.0,2023-01-12,0.0
VNG,9690.0,9720.0,9720.0,9410.0,13900.0,0.0,2023-01-13,0.0
VNG,9600.0,9680.0,9680.0,9020.0,10900.0,0.0,2023-01-16,0.0
VNG,9700.0,9950.0,9950.0,9700.0,10700.0,0.0,2023-01-17,0.0
VNG,9500.0,9950.0,9950.0,9500.0,4400.0,0.0,2023-01-18,0.0
VNG,9780.0,9500.0,9860.0,9500.0,12800.0,0.0,2023-01-19,0.0
VNG,9900.0,9790.0,9900.0,9790.0,15500.0,0.0,2023-01-27,0.0
VNG,9950.0,9950.0,9980.0,9900.0,15000.0,0.0,2023-01-30,0.0
VNG,9810.0,9950.0,9950.0,9610.0,17900.0,0.0,2023-01-31,0.0
VNG,9800.0,9700.0,9800.0,9600.0,16900.0,0.0,2023-02-01,0.0
VNG,9740.0,9600.0,9800.0,9500.0,19500.0,0.0,2023-02-02,0.0
VNG,9730.0,9680.0,9730.0,9110.0,26500.0,0.0,2023-02-03,0.0
VNG,9600.0,9560.0,9600.0,9560.0,1500.0,0.0,2023-02-06,0.0
VNG,9400.0,9610.0,9620.0,9400.0,11100.0,0.0,2023-02-07,0.0
VNG,9440.0,9400.0,9440.0,9010.0,12000.0,0.0,2023-02-08,0.0
VNG,9390.0,9400.0,9400.0,9200.0,6800.0,0.0,2023-02-09,0.0
VNG,9240.0,9400.0,9400.0,8980.0,66400.0,0.0,2023-02-10,0.0
VNG,8900.0,9000.0,9000.0,8900.0,5400.0,0.0,2023-02-13,0.0
VNG,8890.0,8600.0,8990.0,8600.0,9000.0,0.0,2023-02-14,0.0
VNG,8910.0,9000.0,9100.0,8270.0,9500.0,0.0,2023-02-15,0.0
VNG,8900.0,9000.0,9000.0,8810.0,3600.0,0.0,2023-02-16,0.0
VNG,8600.0,9100.0,9100.0,8600.0,9900.0,0.0,2023-02-17,0.0
VNG,9100.0,9000.0,9180.0,9000.0,18500.0,0.0,2023-02-20,0.0
VNG,9100.0,9110.0,9260.0,8700.0,29000.0,0.0,2023-02-21,0.0
VNG,9100.0,8550.0,9100.0,8550.0,3000.0,0.0,2023-02-22,0.0
VNG,9100.0,9100.0,9100.0,8550.0,800.0,0.0,2023-02-23,0.0
VNG,9000.0,9100.0,9100.0,8990.0,2500.0,0.0,2023-02-24,0.0
VNG,8880.0,8450.0,8900.0,8450.0,2700.0,0.0,2023-02-27,0.0
VNG,8790.0,8600.0,8850.0,8600.0,2500.0,0.0,2023-02-28,0.0
VNG,9000.0,8780.0,9240.0,8780.0,1500.0,0.0,2023-03-01,0.0
VNG,8990.0,8990.0,8990.0,8990.0,300.0,0.0,2023-03-02,0.0
VNG,8950.0,9000.0,9110.0,8950.0,1100.0,0.0,2023-03-03,0.0
VNG,8900.0,8950.0,8950.0,8550.0,3000.0,0.0,2023-03-06,0.0
VNG,8870.0,8900.0,8900.0,8550.0,3300.0,0.0,2023-03-07,0.0
VNG,8500.0,8500.0,8650.0,8500.0,30700.0,0.0,2023-03-08,0.0
VNG,9090.0,9090.0,9090.0,9080.0,48500.0,0.0,2023-03-09,0.0
VNG,9450.0,9510.0,9690.0,9370.0,98200.0,0.0,2023-03-10,0.0
VNG,9100.0,9400.0,9400.0,8900.0,31300.0,0.0,2023-03-13,0.0
VNG,9100.0,9380.0,9380.0,8710.0,22600.0,0.0,2023-03-14,0.0
VNG,8920.0,9370.0,9370.0,8840.0,40400.0,0.0,2023-03-15,0.0
VNG,8920.0,9380.0,9380.0,8920.0,23600.0,0.0,2023-03-16,0.0
VNG,9170.0,9200.0,9200.0,8950.0,2000.0,0.0,2023-03-17,0.0
VNG,8900.0,8840.0,8900.0,8830.0,10100.0,0.0,2023-03-20,0.0
VNG,9050.0,8900.0,9080.0,8710.0,11800.0,0.0,2023-03-21,0.0
VNG,9180.0,8530.0,9210.0,8530.0,3500.0,0.0,2023-03-22,0.0
VNG,9050.0,9150.0,9150.0,8710.0,15000.0,0.0,2023-03-23,0.0
VNG,9000.0,9050.0,9100.0,8870.0,10300.0,0.0,2023-03-24,0.0
VNG,8850.0,8800.0,9000.0,8800.0,6600.0,0.0,2023-03-27,0.0
VNG,8950.0,9100.0,9100.0,8840.0,5100.0,0.0,2023-03-28,0.0
VNG,8960.0,8800.0,8960.0,8700.0,20400.0,0.0,2023-03-29,0.0
VNG,8990.0,9000.0,9000.0,8950.0,7000.0,0.0,2023-03-30,0.0
VNG,8830.0,8850.0,9000.0,8370.0,52700.0,0.0,2023-03-31,0.0
VNG,8820.0,8830.0,8970.0,8610.0,24100.0,0.0,2023-04-03,0.0
VNG,8890.0,8860.0,8890.0,8800.0,29700.0,0.0,2023-04-04,0.0
VNG,9140.0,8760.0,9140.0,8750.0,21700.0,0.0,2023-04-05,0.0
VNG,9100.0,9140.0,9200.0,9050.0,31600.0,0.0,2023-04-06,0.0
VNG,9090.0,9080.0,9100.0,9030.0,16000.0,0.0,2023-04-07,0.0
VNG,9010.0,9000.0,9100.0,9000.0,18700.0,0.0,2023-04-10,0.0
VNG,8970.0,9020.0,9020.0,8900.0,7400.0,0.0,2023-04-11,0.0
VNG,9070.0,9020.0,9100.0,8920.0,34300.0,0.0,2023-04-12,0.0
VNG,9000.0,9240.0,9240.0,9000.0,21300.0,0.0,2023-04-13,0.0
VNG,9080.0,8960.0,9100.0,8950.0,4800.0,0.0,2023-04-14,0.0
