Symbol,Name,Market,Sector
AAA,An Phat Plastic and Green Environment Joint Stock Company,HOSE,Process industries
AAM,Mekong Fisheries JSC,HOSE,Consumer non-durables
AAN,,,Unknown
AAT,Tien Son Thanh Hoa Group Joint Stock Company,HOSE,Consumer durables
ABR,Viet Brand Invest Joint Stock Co,HOSE,Communications
ABS,Binh Thuan Agriculture Services JSC,HOSE,Distribution services
ABT,Bentre Aquaproduct Import and Exporrt Joint Stock Company,HOSE,Consumer non-durables
ACB,Asia Commercial Joint Stock Bank,HOSE,Finance
ACC,ACC Binh Duong Investment & Construction JSC,HOSE,Industrial services
ACG,An Cuong Wood - Working Joint Stock Co,HOSE,Non-energy minerals
ACL,Cuulong Fish JSC,HOSE,Process industries
ADC,Art Design & Communication JSC,HNX,Consumer services
ADG,Clever Group Corporation,HOSE,Commercial services
ADP,A Dong Paint JSC,HOSE,Process industries
ADS,Damsan Joint Stock Company,HOSE,Process industries
AFX,An Giang Agriculture and Food Import - Export Joint Stock Co,UPCOM,Unknown
AGG,An Gia Real Estate Investment and Development JSC,HOSE,Finance
AGR,AgriBank Securities JSC,HOSE,Finance
ALT,Alta Co.,HNX,Process industries
AMC,Asia Mineral JSC,HNX,Process industries
AME,Alphanam E&C Joint Stock Company,HNX,Producer manufacturing
AMV,,,Unknown
ANT,An Giang Fruit - Vegetables & Foodstuff JSC,UPCOM,Unknown
ANV,Nam Viet Corp.,HOSE,Consumer non-durables
APG,APG Securities Joint Stock Company,HOSE,Finance
APH,An Phat Holdings JSC,HOSE,Process industries
API,Asia - Pacific Investment Joint Stock Company,HNX,Finance
APS,Securities Corporation Asia Pacific,HNX,Finance
ARM,General Aviation Import-Export JSC,HNX,Distribution services
ASG,ASG Corp.,HOSE,Transportation
ASM,Sao Mai Group Corporation,HOSE,Consumer non-durables
ASP,An Pha Petroleum Group JSC,HOSE,Distribution services
AST,Taseco Air Services JSC,HOSE,Transportation
ATS,ATS Investment Group Joint Stock Company,HNX,Consumer services
BAB,Bac A Commercial Joint Stock Bank,HNX,Finance
BAF,BAF Viet Nam Agriculture Joint Stock Company,HOSE,Process industries
BAX,Thong Nhat Joint Stock Company,HNX,Industrial services
BBS,Vicem Packaging But Son JSC,HNX,Process industries
BCC,BimSon Cement JSC,HNX,Non-energy minerals
BCE,Binh Duong Construction & Civil Engineering JSC,HOSE,Finance
BCF,Bich Chi Food Co,HNX,Consumer non-durables
BCM,Investment & Industrial Development Corp.,HOSE,Consumer durables
BED,,,Unknown
BFC,Binh Dien Fertilizer JSC,HOSE,Process industries
BHN,Hanoi Beer Alcohol and Beverage JSC,HOSE,Consumer non-durables
BIC,BIDV Insurance Corp.,HOSE,Finance
BID,Joint Stock Commercial Bank for Investment and Development of Vietnam,HOSE,Finance
BKC,Bac Kan Mineral JSC,HNX,Non-energy minerals
BKG,BKG Viet Nam Investment Joint Stock Company,HOSE,Consumer durables
BMC,Binh Dinh Minerals JSC,HOSE,Non-energy minerals
BMI,Bao Minh Insurance Corp.,HOSE,Finance
BMP,Binh Minh Plastics JSC,HOSE,Process industries
BNA,Bao Ngoc Investment Production Corp.,HNX,Consumer non-durables
BPC,Vicem Packaging Bim Son Joint Stock Company,HNX,Process industries
BRC,Ben Thanh Rubber JSC,HOSE,Producer manufacturing
BSI,BIDV Securities JSC,HOSE,Finance
BSR,Binh Son Refining & Petrochemical Co. Ltd.,HOSE,Energy minerals
BTP,Ba Ria Thermal Power JSC,HOSE,Utilities
BTS,Vicem But Son Cement Joint Stock Company,HNX,Non-energy minerals
BTT,Ben Thanh Trading & Service JSC,HOSE,Distribution services
BTW,Ben Thanh Water Supply JSC,HNX,Utilities
BVB,Viet Capital Commercial Joint Stock Bank,UPCOM,Unknown
BVH,Bao Viet Holdings,HOSE,Finance
BVS,Bao Viet Securities JSC,HNX,Finance
BWE,Binh Duong Water Environment Corporation Joint Stock Company,HOSE,Utilities
BXH,Haiphong Packing Vicem JSC,HNX,Process industries
C32,CIC39 Corp.,HOSE,Non-energy minerals
C47,Construction JSCNo. 47,HOSE,Industrial services
C69,1369 Construction JSC,HNX,Industrial services
CACB2511,,,Unknown
CACB2515,,,Unknown
CACB2516,,,Unknown
CACB2517,,,Unknown
CACB2603,,,Unknown
CACB2604,,,Unknown
CACB2606,,,Unknown
CACB2607,,,Unknown
CACB2608,,,Unknown
CACB2609,,,Unknown
CACB2610,,,Unknown
CACB2614,,,Unknown
CACB2615,,,Unknown
CACB2616,,,Unknown
CACB2617,,,Unknown
CACB2618,,,Unknown
CACB2619,,,Unknown
CACB2620,,,Unknown
CAG,An Giang Port JSC,HNX,Transportation
CAN,HaLong Canned Food JSC,HNX,Consumer non-durables
CAP,Yen Bai Agro-Forestry Products & Foodstuff Corporation,HNX,Non-energy minerals
CAR,,,Unknown
CCC,CDC Construction JSC,HOSE,Consumer durables
CCI,Cuchi Commercial and Industrial Developing Investment Joint Stock Company,HOSE,Consumer durables
CCL,Cuu Long Petro Urban Development & Investment Corp.,HOSE,Finance
CCR,Cam Ranh Port JSC,HNX,Transportation
CDC,Chuong Duong Corp.,HOSE,Finance
CDN,Da Nang Port JSC,HNX,Transportation
CEO,CEO Group JSC,HNX,Finance
CET,HTC Holding JSC,HNX,Consumer non-durables
CFPT2518,,,Unknown
CFPT2529,,,Unknown
